NAME,WEAR,STICKER_0,STICKER_1,STICKER_2,STICKER_3,ID,LINK
AWP | Containment Breach,Battle-Scarred,The Awper,OpTic Gaming (Holo) | London 2018,Devouring Flame (Holo),Dead Eye (Holo),730_2_27032634700,https://steamcommunity.com/profiles/76561199199855890/inventory/#730_2_27032634700
AWP | Redline,Field-Tested,Cloud9 (Glitter) | Antwerp 2022,Hiko (Foil) | Cologne 2016,FURIA (Holo) | Stockholm 2021,,730_2_27027294251,https://steamcommunity.com/profiles/76561199199855890/inventory/#730_2_27027294251
StatTrak™ Glock-18 | Ironwork,Minimal Wear,Quantum Bellator Fire (Holo) | Boston 2018,Global Elite,Boris,Pegasus,730_2_27025345620,https://steamcommunity.com/profiles/76561199199855890/inventory/#730_2_27025345620
AWP | Wildfire,Minimal Wear,Battle Scarred (Holo),FaZe (Gold) | 2020 RMR,FaZe (Gold) | 2020 RMR,Dragon Lore (Foil),730_2_27024432063,https://steamcommunity.com/profiles/76561199199855890/inventory/#730_2_27024432063
AK-47 | Asiimov,Factory New,Virtus.Pro (Foil) | Cologne 2015,Virtus.Pro (Foil) | Boston 2018,Virtus.Pro (Foil) | DreamHack 2014,Virtus.Pro (Foil) | Krakow 2017,730_2_27021680317,https://steamcommunity.com/profiles/76561199199855890/inventory/#730_2_27021680317
StatTrak™ USP-S | Guardian,Field-Tested,Good Sports,Happy | Cologne 2016,GuardiaN | MLG Columbus 2016,fer | Cologne 2016,730_2_27019919120,https://steamcommunity.com/profiles/76561199199855890/inventory/#730_2_27019919120
Desert Eagle | Printstream,Battle-Scarred,Leaving The Station (Holo),,,,730_2_27019919116,https://steamcommunity.com/profiles/76561199199855890/inventory/#730_2_27019919116
StatTrak™ Desert Eagle | Mecha Industries,Factory New,Team Dignitas | Cologne 2014,DickStacy (Foil) | Berlin 2019,floppy (Holo) | Antwerp 2022,,730_2_26990905936,https://steamcommunity.com/profiles/76561199199855890/inventory/#730_2_26990905936
Desert Eagle | Fennec Fox,Minimal Wear,dennis (Foil) | Krakow 2017,,,,730_2_26945925229,https://steamcommunity.com/profiles/76561199199855890/inventory/#730_2_26945925229
AWP | Asiimov,Field-Tested,Headshot Guarantee,device (Foil) | London 2018,Dragon Lore (Foil),Ninjas in Pyjamas | Katowice 2014,730_2_26936105747,https://steamcommunity.com/profiles/76561199199855890/inventory/#730_2_26936105747
UMP-45 | Blaze,Factory New,HellRaisers | Katowice 2014,,,,730_2_26912202025,https://steamcommunity.com/profiles/76561199199855890/inventory/#730_2_26912202025
Glock-18 | Blue Fissure,Field-Tested,Natus Vincere | Katowice 2014,Nice Shot,,,730_2_26912201996,https://steamcommunity.com/profiles/76561199199855890/inventory/#730_2_26912201996
AWP | Man-o'-war,Minimal Wear,Ninjas in Pyjamas  | Katowice 2015,,,,730_2_26996292757,https://steamcommunity.com/profiles/76561199198756470/inventory/#730_2_26996292757
AK-47 | Baroque Purple,Well-Worn,GuardiaN | Berlin 2019,coldzera | Berlin 2019,Golden | Berlin 2019,,730_2_26553674307,https://steamcommunity.com/profiles/76561199198756470/inventory/#730_2_26553674307
AWP | Graphite,Factory New,GuardiaN (Foil) | Cluj-Napoca 2015,,,,730_2_26987237637,https://steamcommunity.com/profiles/76561199198999427/inventory/#730_2_26987237637
AWP | Asiimov,Field-Tested,Baby Lore,Baby Lore,Baby Lore,Dragon Lore (Foil),730_2_26986287047,https://steamcommunity.com/profiles/76561199198999427/inventory/#730_2_26986287047
Five-SeveN | Case Hardened,Well-Worn,Max,Perry,Viggo,Team Liquid (Holo) | Cologne 2016,730_2_26975984335,https://steamcommunity.com/profiles/76561199198999427/inventory/#730_2_26975984335
StatTrak™ SCAR-20 | Enforcer,Factory New,Enemy Spotted (Holo),GuardiaN | Cologne 2016,,,730_2_26973688231,https://steamcommunity.com/profiles/76561199198999427/inventory/#730_2_26973688231
M4A4 | Modern Hunter,Minimal Wear,arya | MLG Columbus 2016,Flipsid3 Tactics | Katowice 2015,Copenhagen Wolves | DreamHack 2014,Fnatic | MLG Columbus 2016,730_2_27016535147,https://steamcommunity.com/profiles/76561199198894507/inventory/#730_2_27016535147
Glock-18 | Twilight Galaxy,Minimal Wear,Skadoodle (Foil) | Boston 2018,Skadoodle (Foil) | Boston 2018,Skadoodle (Foil) | Boston 2018,,730_2_27016535138,https://steamcommunity.com/profiles/76561199198894507/inventory/#730_2_27016535138
StatTrak™ Desert Eagle | Crimson Web,Field-Tested,iBUYPOWER | Cologne 2014,FaZe Clan | Cologne 2016,FaZe Clan | Cologne 2016,FaZe Clan | Cologne 2016,730_2_27007924729,https://steamcommunity.com/profiles/76561199198894507/inventory/#730_2_27007924729
AWP | Asiimov,Battle-Scarred,Copenhagen Flames (Glitter) | Antwerp 2022,Copenhagen Flames (Glitter) | Antwerp 2022,Copenhagen Flames (Glitter) | Antwerp 2022,Incineration (Holo),730_2_27007799362,https://steamcommunity.com/profiles/76561199198894507/inventory/#730_2_27007799362
AK-47 | Nightwish,Field-Tested,Lambda (Holo),,,,730_2_27007495757,https://steamcommunity.com/profiles/76561199198894507/inventory/#730_2_27007495757
AWP | Wildfire,Factory New,Friendly Fire (Holo),Dragon Lore (Foil),,,730_2_27034119466,https://steamcommunity.com/profiles/76561199197661283/inventory/#730_2_27034119466
M4A1-S | Guardian,Minimal Wear,Twistzz (Champion) | Antwerp 2022,Cloud9 | Cologne 2014,Natus Vincere | Cologne 2014,,730_2_27023130597,https://steamcommunity.com/profiles/76561199197661283/inventory/#730_2_27023130597
AWP | Asiimov,Battle-Scarred,Lambda (Holo),,,,730_2_27016233106,https://steamcommunity.com/profiles/76561199197661283/inventory/#730_2_27016233106
Glock-18 | Reactor,Field-Tested,Fnatic | Cluj-Napoca 2015,Virtus.Pro | Cluj-Napoca 2015,Team EnVyUs | Cluj-Napoca 2015,Fnatic (Foil) | Cologne 2015,730_2_27001147790,https://steamcommunity.com/profiles/76561199197661283/inventory/#730_2_27001147790
Desert Eagle | Hypnotic,Factory New,mousesports (Holo) | Atlanta 2017,Gambit Gaming (Holo) | Atlanta 2017,,,730_2_26891035101,https://steamcommunity.com/profiles/76561199197661283/inventory/#730_2_26891035101
StatTrak™ SSG 08 | Abyss,Battle-Scarred,autimatic (Foil) | Boston 2018,,,,730_2_26804900877,https://steamcommunity.com/profiles/76561199197661283/inventory/#730_2_26804900877
Desert Eagle | Printstream,Field-Tested,Runtime (Holo),Infinite Diamond (Holo),,,730_2_27027206110,https://steamcommunity.com/profiles/76561199196642682/inventory/#730_2_27027206110
StatTrak™ AK-47 | Elite Build,Minimal Wear,mousesports | Cologne 2016,kioShiMa | Cologne 2016,rain | Cologne 2016,FaZe Clan | Cologne 2016,730_2_26992632690,https://steamcommunity.com/profiles/76561199196642682/inventory/#730_2_26992632690
AWP | Pink DDPAT,Field-Tested,TACO | MLG Columbus 2016,Stewie2K | London 2018,Natus Vincere (Holo) | London 2018,,730_2_26986787503,https://steamcommunity.com/profiles/76561199196642682/inventory/#730_2_26986787503
StatTrak™ AWP | PAW,Factory New,Team Liquid | Berlin 2019,Distinguished Master Guardian (Holo),Web Stuck (Holo),MIBR (Holo) | London 2018,730_2_27035107724,https://steamcommunity.com/profiles/76561199198745043/inventory/#730_2_27035107724
FAMAS | Valence,Field-Tested,Renegades (Holo) | 2020 RMR,G2 Esports | Cologne 2016,,,730_2_27023756057,https://steamcommunity.com/profiles/76561199198745043/inventory/#730_2_27023756057
AK-47 | Slate,Field-Tested,woxic (Holo) | Antwerp 2022,woxic (Foil) | London 2018,woxic (Foil) | Berlin 2019,woxic (Foil) | Katowice 2019,730_2_27022102575,https://steamcommunity.com/profiles/76561199198745043/inventory/#730_2_27022102575
R8 Revolver | Fade,Minimal Wear,Leaving The Station (Holo),Leaving The Station (Holo),,,730_2_26992448718,https://steamcommunity.com/profiles/76561199198745043/inventory/#730_2_26992448718
AK-47 | Redline,Field-Tested,FaZe Clan | Cologne 2016,FaZe Clan | Cologne 2016,FaZe Clan | Cologne 2016,FaZe Clan | Cologne 2016,730_2_26992168107,https://steamcommunity.com/profiles/76561199198745043/inventory/#730_2_26992168107
USP-S | Guardian,Minimal Wear,Natus Vincere | Cologne 2016,GuardiaN | MLG Columbus 2016,Natus Vincere | MLG Columbus 2016,Edward | Cologne 2016,730_2_25990150689,https://steamcommunity.com/profiles/76561199198745043/inventory/#730_2_25990150689
AWP | Man-o'-war,Minimal Wear,TV On Mirage,olofmeister | Krakow 2017,chopper (Foil) | Krakow 2017,chopper (Foil) | Krakow 2017,730_2_27024294296,https://steamcommunity.com/profiles/76561199198446280/inventory/#730_2_27024294296
StatTrak™ AWP | Neo-Noir,Field-Tested,GuardiaN (Gold) | Berlin 2019,,,,730_2_26995097697,https://steamcommunity.com/profiles/76561199198446280/inventory/#730_2_26995097697
AWP | Sun in Leo,Minimal Wear,Ivette,Kimberly,Sherry,Rogue (Holo) | London 2018,730_2_26940336188,https://steamcommunity.com/profiles/76561199198446280/inventory/#730_2_26940336188
AWP | Dragon Lore,Well-Worn,Natus Vincere (Gold) | Stockholm 2021,Natus Vincere (Gold) | Stockholm 2021,Natus Vincere (Gold) | Stockholm 2021,Dragon Lore (Foil),730_2_26561095737,https://steamcommunity.com/profiles/76561199198446280/inventory/#730_2_26561095737
StatTrak™ FAMAS | Sergeant,Well-Worn,SK Gaming | Cologne 2016,,,,730_2_25295497088,https://steamcommunity.com/profiles/76561199198446280/inventory/#730_2_25295497088
USP-S | Cyrex,Minimal Wear,Renegades (Holo) | Boston 2018,Renegades (Holo) | Boston 2018,Renegades (Holo) | Boston 2018,Renegades (Holo) | Boston 2018,730_2_27024515283,https://steamcommunity.com/profiles/76561199198355439/inventory/#730_2_27024515283
Desert Eagle | Blaze,Factory New,This Is Fine (T),iBUYPOWER | DreamHack 2014,,,730_2_27017455667,https://steamcommunity.com/profiles/76561199198355439/inventory/#730_2_27017455667
M4A4 | 龍王 (Dragon King),Field-Tested,ESL | Cologne 2016,G2 Esports | Cologne 2016,,,730_2_27015096511,https://steamcommunity.com/profiles/76561199198355439/inventory/#730_2_27015096511
SSG 08 | Dragonfire,Minimal Wear,nexa (Holo) | Stockholm 2021,tiziaN (Foil) | London 2018,,,730_2_26980423875,https://steamcommunity.com/profiles/76561199198355439/inventory/#730_2_26980423875
USP-S | Guardian,Minimal Wear,ESL (Holo) | Cologne 2016,ESL (Holo) | Cologne 2016,ESL (Holo) | Cologne 2016,,730_2_26972247355,https://steamcommunity.com/profiles/76561199198355439/inventory/#730_2_26972247355
AK-47 | Emerald Pinstripe,Minimal Wear,coldzera | Cologne 2016,FalleN | Cologne 2016,SK Gaming | Cologne 2016,TACO | Cologne 2016,730_2_26936982613,https://steamcommunity.com/profiles/76561199198355439/inventory/#730_2_26936982613
StatTrak™ AWP | Graphite,Factory New,Cloud9 (Holo) | Boston 2018,Cloud9 (Holo) | Boston 2018,Cloud9 (Holo) | Boston 2018,Cloud9 (Holo) | Boston 2018,730_2_26910360260,https://steamcommunity.com/profiles/76561199198355439/inventory/#730_2_26910360260
UMP-45 | Exposure,Minimal Wear,karrigan (Foil) | Boston 2018,electronic (Foil) | Boston 2018,zehN (Foil) | Boston 2018,chopper (Foil) | Boston 2018,730_2_27033303569,https://steamcommunity.com/profiles/76561199198733183/inventory/#730_2_27033303569
AWP | Asiimov,Field-Tested,Fearsome (Holo),Dragon Lore (Foil),WorldEdit (Gold) | Katowice 2019,,730_2_27016673448,https://steamcommunity.com/profiles/76561199198733183/inventory/#730_2_27016673448
AWP | Redline,Minimal Wear,Fearsome,MTS GameGod Wolf | Cologne 2014,Black Dog,,730_2_27007663150,https://steamcommunity.com/profiles/76561199198733183/inventory/#730_2_27007663150
StatTrak™ M4A4 | Griffin,Minimal Wear,draken (Foil) | London 2018,electroNic (Holo) | Stockholm 2021,,,730_2_26993981020,https://steamcommunity.com/profiles/76561199198733183/inventory/#730_2_26993981020
Glock-18 | Water Elemental,Field-Tested,Counter Logic Gaming (Holo) | MLG Columbus 2016,Virtus.Pro (Holo) | Krakow 2017,Grayhound Gaming (Holo) | Berlin 2019,mousesports (Holo) | MLG Columbus 2016,730_2_26927613532,https://steamcommunity.com/profiles/76561199198733183/inventory/#730_2_26927613532
AK-47 | Elite Build,Minimal Wear,Snax | Cluj-Napoca 2015,TaZ | Cluj-Napoca 2015,Snax | Cologne 2015,Virtus.pro | Katowice 2015,730_2_27033315595,https://steamcommunity.com/profiles/76561199199127358/inventory/#730_2_27033315595
MP9 | Hot Rod,Factory New,Natus Vincere (Foil) | Cologne 2015,JW (Foil) | Cluj-Napoca 2015,,,730_2_27017260575,https://steamcommunity.com/profiles/76561199199127358/inventory/#730_2_27017260575
StatTrak™ Five-SeveN | Monkey Business,Field-Tested,ENCE (Glitter) | Antwerp 2022,Fnatic (Holo) | Cologne 2016,Coiled Strike,,730_2_27002957397,https://steamcommunity.com/profiles/76561199199127358/inventory/#730_2_27002957397
Desert Eagle | Printstream,Field-Tested,Blue Gem (Glitter),,,,730_2_26994780489,https://steamcommunity.com/profiles/76561199199127358/inventory/#730_2_26994780489
M4A4 | Spider Lily,Battle-Scarred,Leaving The Station (Holo),,,,730_2_27009704565,https://steamcommunity.com/profiles/76561199196627861/inventory/#730_2_27009704565
AK-47 | Ice Coaled,Factory New,Blue Gem (Glitter),Baby Medusa,Baby Medusa,Kawaii CT (Holo),730_2_26990738109,https://steamcommunity.com/profiles/76561199196627861/inventory/#730_2_26990738109
M4A1-S | Cyrex,Factory New,FaZe Clan | Cologne 2016,Gambit Gaming | Cologne 2016,mousesports | Cologne 2016,Astralis | Cologne 2016,730_2_27014806018,https://steamcommunity.com/profiles/76561199198699117/inventory/#730_2_27014806018
AK-47 | Jaguar,Field-Tested,G2 Esports | MLG Columbus 2016,ELEAGUE (Holo) | Atlanta 2017,,,730_2_26994048691,https://steamcommunity.com/profiles/76561199198699117/inventory/#730_2_26994048691
AK-47 | Vulcan,Field-Tested,ESL | Cologne 2016,,,,730_2_26987086038,https://steamcommunity.com/profiles/76561199199327394/inventory/#730_2_26987086038
AWP | Asiimov,Field-Tested,Incineration (Holo),Incineration (Holo),Incineration (Holo),Incineration (Holo),730_2_26981784966,https://steamcommunity.com/profiles/76561199199327394/inventory/#730_2_26981784966
AWP | Asiimov,Well-Worn,G2 Esports | Krakow 2017,kennyS (Foil) | Krakow 2017,,,730_2_26981778389,https://steamcommunity.com/profiles/76561199199327394/inventory/#730_2_26981778389
AK-47 | Blue Laminate,Field-Tested,Ninjas in Pyjamas | Cologne 2014,Fnatic | Cologne 2014,iBUYPOWER | Cologne 2014,London Conspiracy | Cologne 2014,730_2_26981756945,https://steamcommunity.com/profiles/76561199199327394/inventory/#730_2_26981756945
AWP | Asiimov,Well-Worn,Lambda (Holo),Lambda (Holo),,,730_2_26967441177,https://steamcommunity.com/profiles/76561199199327394/inventory/#730_2_26967441177
AK-47 | Vulcan,Field-Tested,ESL One | Katowice 2015,,,,730_2_26967439791,https://steamcommunity.com/profiles/76561199199327394/inventory/#730_2_26967439791
M4A4 | X-Ray,Minimal Wear,Fnatic | Katowice 2014,,,,730_2_26967405256,https://steamcommunity.com/profiles/76561199199327394/inventory/#730_2_26967405256
StatTrak™ AK-47 | Blue Laminate,Factory New,Magisk (Gold) | Krakow 2017,Fnatic (Holo) | DreamHack 2014,Astralis (Gold) | 2020 RMR,Crown (Foil),730_2_26967403332,https://steamcommunity.com/profiles/76561199199327394/inventory/#730_2_26967403332
StatTrak™ Galil AR | Sandstorm,Minimal Wear,LGB eSports | Katowice 2014,,,,730_2_26967396991,https://steamcommunity.com/profiles/76561199199327394/inventory/#730_2_26967396991
StatTrak™ P250 | Steel Disruption,Factory New,Team LDLC.com | Katowice 2014,,,,730_2_26967396989,https://steamcommunity.com/profiles/76561199199327394/inventory/#730_2_26967396989
M4A1-S | Cyrex,Factory New,TYLOO | 2020 RMR,Astralis | Cologne 2016,FaZe | 2020 RMR,Astralis | MLG Columbus 2016,730_2_27044815669,https://steamcommunity.com/profiles/76561199198738805/inventory/#730_2_27044815669
USP-S | Orion,Minimal Wear,Virtus.Pro (Holo) | London 2018,IHC Esports (Glitter) | Antwerp 2022,,,730_2_27042181873,https://steamcommunity.com/profiles/76561199199295265/inventory/#730_2_27042181873
AK-47 | Elite Build,Field-Tested,Fnatic | Katowice 2015,Boombl4 (Holo) | Stockholm 2021,,,730_2_27046916363,https://steamcommunity.com/profiles/76561199197216615/inventory/#730_2_27046916363
