NAME,WEAR,STICKER_0,STICKER_1,STICKER_2,STICKER_3,ID,LINK
AWP | Redline,Field-Tested,Drug War Veteran,PENTA Sports  | Katowice 2015,TSM Kinguin | Katowice 2015,compLexity Gaming | Katowice 2014,730_2_27053073562,https://steamcommunity.com/profiles/76561199197371904/inventory/#730_2_27053073562
AK-47 | Redline,Field-Tested,kioShiMa | Cologne 2016,FaZe Clan | Cologne 2016,,,730_2_27055280014,https://steamcommunity.com/profiles/76561199199855890/inventory/#730_2_27055280014
AWP | Containment Breach,Field-Tested,OpTic Gaming (Foil) | London 2018,,,,730_2_27047818238,https://steamcommunity.com/profiles/76561199199855890/inventory/#730_2_27047818238
AK-47 | Aquamarine Revenge,Field-Tested,SK Gaming | Cologne 2016,,,,730_2_27047325120,https://steamcommunity.com/profiles/76561199199855890/inventory/#730_2_27047325120
AWP | Corticera,Minimal Wear,Skadoodle (Foil) | Boston 2018,,,,730_2_27044778535,https://steamcommunity.com/profiles/76561199199855890/inventory/#730_2_27044778535
AK-47 | Redline,Field-Tested,G2 Esports | MLG Columbus 2016,FaZe Clan | MLG Columbus 2016,Astralis | Cologne 2016,Rekt (Holo),730_2_27054651201,https://steamcommunity.com/profiles/76561199198999427/inventory/#730_2_27054651201
StatTrak™ AK-47 | Slate,Field-Tested,TV Installation (Lenticular),Magic Rush Ball (Lenticular),Cbbl (Holo),Leaving The Station (Holo),730_2_27053819339,https://steamcommunity.com/profiles/76561199198999427/inventory/#730_2_27053819339
Tec-9 | Isaac,Factory New,Astralis | Cologne 2016,,,,730_2_27041003003,https://steamcommunity.com/profiles/76561199198894507/inventory/#730_2_27041003003
StatTrak™ AK-47 | Wasteland Rebel,Minimal Wear,Ninjas in Pyjamas  | Katowice 2015,Ninjas in Pyjamas  | Katowice 2015,Ninjas in Pyjamas  | Katowice 2015,Ninjas in Pyjamas  | Katowice 2015,730_2_27050302848,https://steamcommunity.com/profiles/76561199197661283/inventory/#730_2_27050302848
AWP | Containment Breach,Well-Worn,Flipsid3 Tactics (Holo) | Boston 2018,,,,730_2_27046372514,https://steamcommunity.com/profiles/76561199196642682/inventory/#730_2_27046372514
StatTrak™ Desert Eagle | Printstream,Battle-Scarred,RpK (Gold) | Berlin 2019,,,,730_2_27054699290,https://steamcommunity.com/profiles/76561199198446280/inventory/#730_2_27054699290
StatTrak™ P2000 | Handgun,Minimal Wear,Counter Logic Gaming | Cologne 2016,Counter Logic Gaming | Cologne 2016,Counter Logic Gaming | Cologne 2016,jdm64 | Cologne 2016,730_2_27042833144,https://steamcommunity.com/profiles/76561199198355439/inventory/#730_2_27042833144
AK-47 | Elite Build,Well-Worn,GeT_RiGhT | Cologne 2016,,,,730_2_27054412232,https://steamcommunity.com/profiles/76561199198733183/inventory/#730_2_27054412232
AK-47 | Asiimov,Field-Tested,Incineration (Holo),Natus Vincere | Krakow 2017,Natus Vincere | Krakow 2017,Legendary Eagle Master (Holo),730_2_27053069034,https://steamcommunity.com/profiles/76561199198733183/inventory/#730_2_27053069034
Dual Berettas | Shred,Minimal Wear,cadiaN | London 2018,autimatic | London 2018,Hiko | London 2018,autimatic (Foil) | London 2018,730_2_27039704110,https://steamcommunity.com/profiles/76561199199127358/inventory/#730_2_27039704110
M4A4 | Evil Daimyo,Minimal Wear,Last Vance,G2 Esports | Cologne 2016,,,730_2_27052896518,https://steamcommunity.com/profiles/76561199196627861/inventory/#730_2_27052896518
AWP | Hyper Beast,Field-Tested,chrisJ (Foil) | Cologne 2015,Battle Scarred,,,730_2_27039560640,https://steamcommunity.com/profiles/76561199196627861/inventory/#730_2_27039560640
StatTrak™ FAMAS | Neural Net,Field-Tested,ALEX (Foil) | Berlin 2019,xseveN (Foil) | Berlin 2019,Golden (Foil) | Berlin 2019,,730_2_27043788437,https://steamcommunity.com/profiles/76561199198699117/inventory/#730_2_27043788437
